,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
115,116L,NCU,NCU00055767,"Bozeman, John R.",10818,7,26,1967,GA,Johnson County,"E side of Little Ohoopee River, 2.8 mi. W of co. line",,32.719123,-82.508529,75.6,17.9,1154,5,3,99.82,106.09,100.21,102.79,100.02,104.44,1.044191162,6963.71
116,117L,NCU,NCU00126465,"Bozeman, John R.",6809,8,1,1966,GA,Burke County,SW side of Brier Creek along Ga. 80,,33.226587,-81.822531,27.3,17.5,1155,4,3,79.71,75.15,79.86,74.73,79.79,74.94,0.939215441,3986.06
117,118L,NCU,NCU00126466,"Duncan, Wilbur H.",3789,7,31,1941,GA,Clarke County,Hillside overlooking North Oconee River just south of Athens,,33.929825,-83.36518,191.5,16.3,1248,5,3,79.55,85.36,78.38,81.36,78.97,83.36,1.055590731,4388.35
118,119L,NCU,NCU00126477,"Bozeman, John R.",7204,8,8,1966,GA,Jones County,Commissioner Creek swamps and slopes along Ga. 49,,32.94321,-83.481113,164,17.5,1193,6,3,84.21,77.69,76.58,83.1,80.4,80.4,1,4308.9
119,120L,NCU,NCU00125998,Radford and Stewart,1601,7,23,1940,NC,Alexander County,"Near Wilkes Co. line, in pasture, on road from Gilreath PO to Hidnite, Alexander County",,36.028036,-81.060224,371.6,13.3,1258,5,2,97.19,91.5,95.97,92.17,96.58,91.84,0.950921516,5912.95
120,121L,NCU,NCU00126203,"Eggleston, W.W. (?)",487,8,25,1896,NC,Buncombe County,Biltmore,,35.540134,-82.55165,679,12.7,1168,3,4,77.12,94.06,74.5,87.24,75.81,90.65,1.195752539,4581.45
121,122L,NCU,NCU00126210,"Wickland, D.E.",322,7,12,1975,NC,Davidson County,north of the first clearing at Silver Valley mine site; mine is 0.5 mi. south of 2205 from a point 0.55 mi east of the intersection of 2205 and 2262.,,35.729454,-80.114854,225.2,15.1,1148,4,2,85.76,81.3,84.19,79.02,84.98,80.16,0.943280772,4541.06
122,123L,NCU,NCU00126215,"Ahles, Harry E.",15079,6,21,1956,NC,Gaston County,1 mile south of Mt. View near Crowders Mt.,,35.245421,-81.278688,219.5,15.1,1219,5,3,78.77,75.42,84.75,81.46,81.76,78.44,0.959393346,4275.5
123,124L,NCU,NCU00126216,"Ahles, Harry E.",17544,7,24,1956,NC,Granville County,0.8 mile west-southwest of Berea,,36.310438,-78.751095,127.4,14.3,1123,5,3,95.05,99.21,91.44,96.08,93.25,97.65,1.047184987,6069.94
124,125L,NCU,NCU00126299,"Clark, Ross C.",11607,4,29,1967,AL,Coosa County,"on tributary of Peckerwood Creek, ca. 3 miles north of Marble Valley",,33.089524,-86.463274,130.9,16.8,1420,5,3,87.05,85.09,79.41,76.5,83.23,80.8,0.970803797,4483.05
125,126L,NCU,NCU00126401,"Davenport, L.J.",490,7,7,1978,AL,Cullman County,"On unnumbered farm road SW of Bremen, 0.9 mi N of hwy 69; NW1/4 Sec 30, T12S R4W. ",,33.97272,-87.001145,180.8,15.6,1461,6,3,89.91,85.24,81.19,76.02,85.55,80.63,0.942489772,4598.6
126,127L,NCU,NCU00126414,"Whetstone, R.J.",5769,8,5,1975,AL,Jackson County,"N of Section, on Co. Rd. 29, ca. 5.4 mil. SW of Ala. 35 and Comer Bridge.",,34.568496,-86.031864,213.7,14.6,1464,3,3,92.47,106.79,97.65,105.9,95.06,106.35,1.118767094,6739.44
127,128L,NCU,NCU00126456,"Ashe, W.W.",s.n.,11,2,1924,FL,,Northwest of Chattahoochee,,30.713221,-84.85196,27.3,19.4,1422,5,3,73.95,81.17,69.11,75.91,71.53,78.54,1.098000839,3745.31
128,129L,NCU,NCU00126741,"James, Fred C.",11547,6,24,1968,VA,Warren County,1.3 mi SW of jct. Co 629 and US 340 on US 340,,38.82001,-78.336228,205.3,11.6,966,5,3,73.69,70.3,71.97,71.98,72.83,71.14,0.976795277,3454.08
129,130L,NCU,NCU00126555,"Ramsey, G.W.",7800,7,12,1967,VA,Bedford County,at old rock quarry near Otter River on Hwy 24 near intersection with Co. Rd 709,,37.245526,-79.348128,177.8,13.4,1073,4,3,122.38,117.62,100.24,100.13,111.31,108.88,0.978169077,8079.25
130,131L,NCU,NCU00126554,"James, Fred C.",8023,7,23,1967,VA,Bath County,In Douthat State Park on Co. 629,,37.902657,-79.802237,439.1,11.3,1046,3,3,98.88,104.97,92.55,101.21,95.72,103.09,1.076995403,6578.17
131,132L,NCU,NCU00126590,"Thacker, W.",4127,6,21,1966,VA,Campbell County,Top of a bluff near fields on the James River at Joshua Falls,,37.416546,-79.055124,144.4,13.4,1076,4,3,91.23,90.4,75.64,75.63,83.44,83.02,0.994966443,4617.57
132,133L,NCU,NCU00126792,"Hendricks, C. / L.M. Radford",s.n.,6,14,1941,IN,Jennings County,on edge of woods near house on J.C. Hendricks' farm,,38.9915,-85.684578,212.5,12.1,1101,5,3,85.86,90.4,93.99,90.31,89.93,90.36,1.004781497,5416.78
133,134L,NCU,NCU00126793,"Monroe, John",s.n.,10,10,1980,IL,Williamson County,"Devil's Kitchen Lake ca. 8 miles SE of Carbondale, IL; 700 m east of spillway (map on specimen sheet)",,37.64669,-89.094761,131.1,13,1161,3,3,102.29,111.39,94.43,108.72,98.36,110.06,1.118950793,7216.67
134,135L,NCU,NCU00126787,"Johnson, C.S.",50,7,30,1965,OH,Cuyahoga,"North Olmstead, Rocky River Reservation, adjacent to No. 1 Golf Course",,41.444934,-81.835812,190,9.9,927,2,3,76.38,77.69,70.62,75.93,73.5,76.81,1.045034014,3763.69
135,136L,NCU,NCU00126785,"O'Dell, Dale E.",797,6,23,1965,OH,Vinton County,"Lake Alma State Park, Area 31 W of the lake, between Little Raccoon Creek and small sandstone bluff area",,39.145522,-82.515243,223.7,11.2,1033,6,3,120.43,121.76,100.78,96.84,110.61,109.3,0.988156586,8059.42
136,137L,NCU,NCU00126766,"Soltis, Douglas",520,8,20,1974,VA,New Kent County,"near Rt. 634, 0.4 mile from its junction with Rt. 601. P.O. Barhamsville",,37.456575,-76.815964,26.8,14.3,1126,4,3,69.85,78.34,69.6,68.5,69.73,73.42,1.0529184,3412.81
137,138L,NCU,NCU00126591,,s.n.,8,,1890,VA,Orange County,Barboursville,,38.16909,-78.283127,159.1,13,1102,4,3,97.12,97.86,88.57,80.2,92.85,89.03,0.958858374,5510.66
138,139L,NCU,NCU00126762,"James, Fred C.",11289,6,23,1968,VA,Page County,0.4 mi E of Shenandoah and Page Co. Line,,38.642827,-78.608918,513.3,10.7,1001,6,2,87.9,82.07,86.36,74.07,87.13,78.07,0.896017445,4534.83
139,140L,NCu,NCU00126761,"Clark, Ross C.",2011,8,22,1965,VA,Patrick County,"Along Poorhouse Creek, near end of Co. Rd 642, 2 miles north of Stuart",,36.658315,-80.291425,402.5,12.7,1264,4,3,93.48,91.48,89.27,87.86,91.38,89.67,0.981286934,5462.4
140,141L,NCU,NCU00126418,"Clark, Ross C.",12745,5,9,1967,AL,Lawrence County,"Along Borden Creek, 11 miles south of Landersville",,34.325511,-87.400011,215.6,15.4,1479,5,4,93.82,45.82,79.09,87.84,86.46,66.83,0.772958594,3851.86
141,142L,NCU,NCU00126582,"James, Fred C.",7191,7,6,1967,VA,Cumberland County,At Jct. of US 60 and Co. 633 on Co. 633 (SW of Cumberland),,37.483901,-78.320357,78.7,13.3,1083,6,3,88.94,91.55,98.78,97.37,93.86,94.46,1.006392499,5910.68
142,143L,NCU,NCU00126748,"Bradley, Ted",7787,6,21,1975,VA,Shenandoah County,"Roadside and creek bank, Ca. 2 mi. from Page Co. on rte 675",,38.771773,-78.499013,342.1,11,974,6,3,83.15,89.76,79.23,78.98,81.19,84.37,1.039167385,4566.67
143,144L,NCU,NCU00126784,"Downs, Robert M.",2159,8,15,1967,WV,Berkeley County,Roadside and mixed woods along Potomac River near Bakerville,,39.590052,-77.866541,139.3,11.4,977,4,3,109.56,111.9,99.01,106.79,104.29,109.35,1.048518554,7602.03
144,145L,NCU,NCU00126782,"Downs, Robert M.",3902,7,30,1968,WV,Jefferson County,"Along Potomac River, about 1 mi NE of Bakerton",,39.374763,-77.751212,99.5,11.8,977,4,3,98.42,106.32,89.43,97.47,93.93,101.9,1.084850421,6380.33
145,146L,NCU,NCU00126531,"Allen, Charles M.",8907,6,4,1979,LA,Webster Parish,"Along Webster Parish Rd 246 near Little Indian Creek, ca. 4 mi SE of Shangaloo in Sec 12 T22N R9W",,32.919457,-93.252512,85,17.3,1291,6,3,116.63,107.1,104.2,98.24,110.42,102.67,0.92981344,7557.54
146,147L,NCU,NCU00126526,"Mickinski, Steve",30,4,16,1976,LA,Caddo County,"1.4 mi from jct La. 173 and La. 1 along La. 173; ca. 10 mi. NW of Shreveport; T19N, R15 W, Sec. 14",,32.627079,-93.887731,72,18.1,1213,5,3,86.09,77.43,84.22,83.21,85.16,80.32,0.943165806,4559.77
147,148L,NCU,NCU00126243,"Ahles, Harry E.",17383,7,21,1965,NC,Vance County,"Ruin Creek, 5.2 miles southwest of Bearpond",,36.229899,-78.480257,100.2,14.6,1125,5,3,88.47,84.57,78.96,76.1,83.72,80.34,0.959627329,4483.5
148,149L,NCU,NCU00126244,"Ahles, Harry E.",58695,7,21,1963,NC,Wake County,"Swift Creek, 4 miles east of Apex",,35.71063,-78.1856,50.3,15.4,1168,4,3,77.94,77.01,77.15,80.8,77.55,78.91,1.017537073,4079.13
149,150L,NCU,NCU00007709,"Schram, Lynn A. ",497,6,6,1974,NC,Madison County,3.2 miles west of the US routes 25-70 on the north side of the French Broad River. West of Hot Springs.,,35.911844,-82.844712,408.4,12.9,1114,3,3,96.19,111.4,83.96,101.45,90.08,106.43,1.181505329,6390.82
150,151L,NCU,NCU00126229,"Hawkins, Rose",s.n.,2,7,1914,NC,,Below apple orchard on Glen Burnie Farm,,35.116982,-77.092601,8,16.6,1339,4,4,74.88,79.82,72.62,72.58,73.75,76.2,1.033220339,3746.5
151,152L,NCU,NCU00126429,"Aplin, George A.",42,4,23,1967,AL,Pike County,Murphree State Park,,31.813268,-85.976539,135.6,17.9,1369,4,3,80.85,78.05,80.78,79.39,80.82,78.72,0.974016333,4241.17
152,153L,NCU,NCU00126430,"Bostick, P.E.",288-22,6,4,1963,AL,St. Clair County,"Tuscumbia limestone ridge, Beason Cove",,33.894265,-86.299424,197.4,15.6,1431,4,3,90.89,88.71,89.61,90.4,90.25,89.56,0.992354571,5388.23
153,154L,NCU,NCU00126434,"Clark, Ross C.",6649,8,5,1966,AL,Sumter County,"Roadside of co. rd. 23, ca. 0.5 mile east of jct. with Ala. Hwy 8 in Coatopa.",,32.488699,-88.059666,45.2,17.4,1421,5,3,124.95,125.6,120.23,114.86,122.59,120.23,0.980748838,9826
154,155L,NCU,NCU00126272,"Utech, F.H.",83-351,6,19,1983,SC,McCormick County,"Sumter National Forest, ca 5.0 mi W of McCormick (city) on US hwy 378 en route to Baker Creek State park",,33.872803,-82.360689,104.2,16.5,1186,5,3,126.84,139.44,127,140.46,126.92,139.95,1.102663095,11841.64
155,156L,NCU,NCU00126455,"Demaree, Delzie",56402,6,19,1967,AR,Washington County,White River bottoms,,36.093149,-94.027655,356.6,14.1,1140,5,3,83.18,86.2,78.23,34.09,80.71,60.15,0.74526081,3236
156,157L,NCU,NCU00126523,"Nicely, Kenneth A.",2783,6,22,1970,KY,Warren County,"Dripping Springs Escarpment, along KY Rt 67 ca. 5 mi. N of Bowling Green",,37.077407,-86.28985,173.8,13.8,1287,3,3,71.17,69.68,66,73.29,68.59,71.49,1.042280216,3268.53
157,158L,NCU,NCU00126522,"Morris, J.G.",s.n.,5,13,1967,KY,Trigg County,5 miles northwest of Golden Pond,,36.804711,-88.065419,153.4,14,1296,6,3,78.08,81.51,70.21,65.51,74.15,73.51,0.991368847,3633.6
158,159L,NCU,NCU00126521,"Thieret, John W.",52688,8,13,1981,KY,Robertson County,"Along highway 62, ca. 6 miles W of Mt. Olivet",,38.492244,-84.11193,198.8,12,1124,6,2,89.63,73.77,77.3,61.23,83.47,67.5,0.808673775,3755.93
159,160L,NCU,NCU00126237,"Newman, Samuel N.",15,39972,,1968,NC,Rockingham County,"Mountain north of Mayodan, NC",,36.429189,-79.95667,228.4,14,1148,4,4,102.62,105.42,103.55,102.38,103.09,103.9,1.007857212,7140.35
160,161L,NCU,NCU00126238,"Horton, James H.",422,10,6,1956,NC,Rowan County,Near a bridge crossing the South Yadkin River 5.3 mi SW of Mocksville; 5 mi. NW of Woodleaf,,35.838157,-80.627627,201.3,14.5,1152,5,3,78.94,73.52,73.92,72.27,76.43,72.9,0.953813947,3714.24
161,162L,NCU,NCU00126239,"Smith, Drake M.",67,6,24,1967,NC,Rutherford County,"3 miles west of Union Mills, NC on County Rd 1512",,35.490904,-82.010787,343.2,14.5,1323,6,3,114.94,110.65,121.51,113.22,118.23,111.94,0.946798613,8822.34
162,163L,NCU,NCU00126241,"Radford, A.E.",34672,6,4,1958,NC,Stokes County,"near Dan River, 1 mile N of Moores Springs",,36.432066,-80.278326,259.2,13.6,1199,3,3,97.27,119.98,87.94,114.46,92.61,117.22,1.265738041,7236.77
163,164L,NCU,NCU00126577,"Ramsey, G.W.",10818,8,1,1968,VA,Fluvanna County,"West side of Hwy 15 near the north end of the John H. Cocke Bridge over the James River, Bremo Bluffs",,37.711516,-78.301875,63.3,13.4,1066,4,3,112.44,104.62,110.56,113.68,111.5,109.15,0.978923767,8113.48
164,165L,NCU,NCU00126576,"James, Fred C.",10594,5,29,1968,VA,Franklin County,2.8 mi NW of Jct. Co 890 and Co. 646 on Co. 646,,36.935588,-79.71543,261.7,13.4,1115,3,4,86.62,101,82.01,40.8,84.32,70.9,0.840844402,3985.29
165,166L,NCU,NCU00126573,"James, Fred C.",6512,6,10,1967,VA,Goochland County,On US 522 at Chesapeake Railway crossing about 0.3 mi. from William Michaux Bridge (just S of Goochland),,37.665752,-77.884467,46,13.5,1073,4,3,62.27,67.72,58.53,69.31,60.4,68.52,1.134437086,2758.87
166,167L,NCU,NCU00126572,"James, Fred C.",12043,7,10,1968,VA,Greene County,9.9 mi. NW of jct. Co. 608 and US 33 on US 33,,38.34779,-78.529469,545.4,10,1156,2,3,86.5,77.44,77.16,73.72,81.83,75.58,0.923622143,4123.14
167,168L,ISC,219004,"Isely, Duane",4385,9,9,1945,AL,Lauderdale County,near Tennessee border,,35.001579,-87.656112,212.3,14.9,1418,3,3,67.47,85.48,65.7,73.34,66.59,79.41,1.1925214,3525.01
168,169L,ISC,90627,"Fretz, C.D.",s.n.,NA,,1881,PA,Bucks County,,,40.410796,-75.247906,126.9,10.8,1151,3,3,59.13,63.49,62.43,60.69,60.78,62.09,1.021553142,2515.89
169,170L,ISC,331761,"Seymour, Frank C.",17372,8,9,1957,MD,Calvert County,"Jett's Farm, near Parker's Creek (map on speciment sheet0",,38.539923,-76.522143,22.8,13.4,1087,3,3,117.96,125.39,92.99,110.75,105.48,118.07,1.11935912,8302.29
170,171L,ISC,90628,"Lloyd, C.G.",s.n.,7,29,1883,OH,,near Cincinnati,,39.103118,-84.51202,167.8,12,1048,4,4,95.76,99.21,108.39,104.33,102.08,101.77,0.996963166,6925.45
171,172L,ISC,207088,"Demaree, Delzie",26213,7,12,1947,AR,Lawrence County,P.O. Strawberry,,35.967572,-91.321243,103.6,15.1,1204,2,3,71.61,74.04,70.59,79.03,71.1,76.54,1.076511955,3627.76
172,173L,ISC,262422,"Isely, Duane",10223,5,6,1967,AR,Cross County,"West slope of Crowley's Ridge, adjacent to US 64",,35.230367,-90.728502,81.6,16,1271,5,3,102.5,89.96,93.66,46.11,98.08,68.04,0.693719413,4448.58
173,174L,ISC,405434,"D'Arcy, W.G.",934,8,7,1978,MO,Jefferson County,"Road ca 1 mi along creek below and W of Sunridge Fire Tower, off MO 21 near Otto",,38.327411,-91.544997,305,12.3,1013,4,3,125.59,123.86,82,97.26,103.8,110.56,1.065125241,7650.38
174,175L,ISC,405532,"Cabush, J.",728,7,25,1978,MO,St. Louis County,"Kirkwood. Sugar Creek Valley, Adams Avenue",,38.583492,-90.42194,176.9,12.7,988,4,3,102.19,103.01,100.5,105.56,101.35,104.29,1.029008387,7045.84
175,176L,ISC,405368,"Davidse, G.",112,6,21,1978,MO,St. Charles County,"1 mile south of the junction of Hwy 94 and Hwy H, south of the Portage Des Sioux, near railroad intersection with Hwy H",,38.898339,-90.358019,130,12.5,957,3,2,59.93,58.04,61.52,64.93,60.73,61.49,1.012514408,2489.12
176,177L,ISC,158555,"Hayden, Ada",9923,9,9,1940,IA,Fremont County,"Fremont Twp, Sec 29 in Waubonsie State park 5 miles north and 2 miles West of Hamburg",,40.681307,-95.686839,332,10.4,849,5,3,101.92,105.14,96.5,92.88,99.21,99.01,0.997984074,6548.52
177,178L,ISC,400103,"Sanders, Roger W.",75030,7,14,1975,MO,Greene County,"Along Pickering Creek, ca. 15 km W of Springfield, T28N, R24W, sec. 15",,37.195185,-93.52699,329.1,13.1,1082,6,3,111.35,99.56,108.65,109.9,110,104.73,0.952090909,7680.2
178,179L,ISC,262426,"Isely, Duane",10268,5,7,1967,TN,Blount County,"""Happy Valley"" adjacent to Chilhowee Mt.",,35.607362,-83.961427,380.5,13.1,1444,5,3,70.05,75.68,73.28,32.1,71.67,53.89,0.751918515,2574.68
179,180L,ISC,10238,"Isely, Duane",10238,5,6,1967,TN,Hardeman County,Chickasaw State Park,duplicate,35.342316,-88.985668,113.9,15.2,1342,6,4,81.48,43.78,97.12,43.31,89.3,43.55,0.487681971,2592.38
180,181L,ISC,262424,"Isely, Duane",10245,5,7,1967,Tn,Lewis County,"Secondary road, hillside, near State #99, east Hohenwald",,35.55365,-87.535753,285.7,13.9,1421,4,3,89.93,89.01,70.53,73.12,80.23,81.07,1.010469899,4335.9
181,182L,ISC,417717,"Vincent, Michael A",6703,8,6,1994,KY,Letcher County,"Along St. Rt. 119, 2 mi. Sw of its jct with St. Rt. 1862",,37.118911,-82.792289,357.2,12.4,1147,4,3,95.27,113.09,89.04,96.96,92.16,105.03,1.139648438,6452.39
182,183L,ISC,26288,"Wright, John S.",s.n.,8,3,1892,IN,,"Fairview Park, Indianapolis",,39.832934,-86.173549,233,11,1009,2,3,79.7,38.41,69.77,72.1,74.74,55.26,0.739363126,2752.99
183,184L,ISC,212644,"Bailey, L.H.",s.n.,6,19,1887,MI,,near Lansing,,42.732535,-84.555535,260,8.1,791,4,3,77.57,83.08,68.03,72.97,72.8,78.03,1.071840659,3786.81
184,185L,ISC,242690,"Isely, Duane",7436,8,18,1960,IL,Greene County,Bryant State Park,,39.179216,-90.474075,178.7,11.9,942,2,4,71.36,87.14,82.92,86.41,77.14,86.78,1.124967591,4462.55
185,187L,ISC,1131527,"Ruth, Albert",750,4,30,1923,TX,Tarrant County,Valley of Trinity,,32.654508,-97.427114,230.8,18.3,827,2,6,82.33,127.64,83.3,112.87,82.82,120.26,1.452064719,6639.28
186,188L,ISC,39749,"Heller, A. Arthur",1771,5,14-21,1894,TX,Kerr County,Kerrville,,30.047433,-99.140319,498.8,18.6,732,1,5,64.86,82.94,59.25,85.65,62.06,84.3,1.358362875,3487.28
187,189L,ISC,235843,"Isely, Duane",8506,5,13,1963,TX,Parker County,ca. 6 miles east Weatherford,,32.755836,-97.695241,310,17.9,829,2,4,52.15,62.95,51.57,61.99,51.86,62.47,1.204589279,2159.8
188,190L,ISC,213358,"Shinners, Lloyd H.",15549,7,23,1953,TX,Wood County,2.3 miles northwest of Golden,,32.755032,-95.583639,134,17.6,1077,5,3,74.05,60.2,70.23,60.45,72.14,60.33,0.836290546,2901.23
189,191L,ISC,207883,"Picklum, Warren E.",s.n.,7,24,1952,IA,Story County,"Ne 1/4, Sec. 4, R-24 W, T-83N; ISC campus, east of Morrill Hall",,42.027549,-93.647617,290.4,8.8,837,4,3,73.18,74.58,67.1,66.54,70.14,70.56,1.005988024,3299.39
190,192L,ISC,1111488,"Pammel, L.H.",s.n.,7,14,1923,IA,Fremont County,Hamburg,,40.605833,-95.655,279,10.6,844,5,3,115.27,101.64,98.65,51.49,106.96,76.57,0.715875093,5459.59
191,193L,ISC,1191290,"Pammel, L.H.",714,7,12,1925,IA,Fremont County,Thurman,,40.82,-95.747779,295,10.2,841,4,3,85.25,87.62,82.93,40.25,84.09,63.94,0.760375788,3584.2
192,194L,ISC,193268,"Myers, P.C.",s.n.,8,,1897,IA,Louisa County,Muscatine Island,,41.333362,-91.104316,165,10.2,900,4,2,135.32,129.52,82.13,45.62,108.73,87.57,0.805389497,6347.37
193,195L,ISC,1381616,"Fults, Jess L.",1076,6,22,1931,IA,Lee County,,,40.706866,-91.443469,231.4,10.3,944,6,3,112.46,110.3,111.55,101.16,112.01,105.73,0.943933577,7894.86
194,196L,ISC,207488,"Sparling, Shirley",201,7,6,1950,MO,Livingston County,N 3.7 mi and W 1.1 mi from Chillicothe,,39.854768,-93.559453,229.3,11.4,942,5,3,119.28,113.53,105.55,99.63,112.42,106.58,0.948051948,7987.46
195,197L,ISC,150470,"Proctor, Robert E.",1,7,6,1937,MO,,"Recreational area, Lake of the Ozarks",,38.102555,-92.594666,201.2,13.2,1043,5,3,91.67,110.45,88.11,85.02,89.89,97.74,1.087328958,5856.93
196,198L,ISC,82575,"Barnes, P.J.",s.n.,NA,,,MO,,St. Louis,,38.610302,-90.412518,173.3,12.8,983,4,3,85.54,87.16,74.6,78.8,80.07,82.98,1.0363432,4429.47
197,199L,KANU,KANU00004866,"Richards, E.L.",2012,10,5,1958,KS,Miami County,Murray Lake,[Murray Lake is apparently not a Lake in miami county or in KS; there is a Hillsdale Lake in Miami County. lat/long is for Hillsdale Lake],38.675627,-94.890106,308,12.7,984,4,3,75.76,87.1,102.52,105.81,89.14,96.46,1.082118017,5732
198,200L,KANU,KANU00340959,"Morse, Caleb A.",5242,10,5,2000,KS,Miami County,1 mi E Somerset,,38.600118,-94.743169,277,12.6,1003,5,3,116.57,133.73,117.31,122.47,116.94,128.1,1.095433556,9986.68
199,201L,KANU,KANU00004838,"Horr, W.H.",s.n.,7,18,1930,KS,Morris County,,,38.714483,-96.663812,440.9,12.1,860,6,3,78.75,69.26,72.84,69.26,75.8,69.26,0.913720317,3499.71
200,202L,KANU,KANU00004893,"Imler (?), R.H.",s.n.,6,13,1929,KS,Pottawatomie County,,,39.397634,-96.322607,386.4,11.8,881,4,3,107.94,116.38,97.97,94.56,102.96,105.47,1.024378399,7239.11
201,203L,KANU,KANU00004844,"Wagenknecht, B.L.",3445,10,6,1956,KS,Riley County,5 mi. S Manhattan,,39.110081,-96.538214,413.1,12,872,2,3,79.57,84.34,62.6,78.76,71.09,81.55,1.147137431,3864.65
202,204L,KANU,KANU00115528,"Milburn, Jennifer",757,5,31,1994,KS,Miami County,"3.5 mi. N of Hwy 68, 9.5 mi E of Franklin Co. Line",,38.671342,-94.893265,299.7,12.7,984,4,3,66.28,87.74,68.12,89.14,67.2,88.44,1.316071429,3962.11
203,205L,KANU,KANU00004857,"Horr, W.H.",s.n.,6,21,1930,KS,Leavenworth County,,,39.171308,-95.018246,281.8,12.7,963,4,3,96.6,89.16,79.83,81.98,88.22,85.57,0.96996146,5032.37
204,206L,KANU,KANU00004872,"Richards, E.L.",1241,7,26,1958,KS,Jefferson County,3 miles east and 1 mile south of Valley Falls,,39.325799,-95.4138,280,12.3,947,6,3,114.04,108.37,95.94,93.06,104.99,100.72,0.95932946,7049.38
205,207L,KANU,KANU366789,"Freeman, Craig C.",23858,6,3,2010,KS,Johnson County,"T12S, R24E, sec 30, NE 1/4; Lenexa, W side of town. Shawnee Mission Park, SE side ca 0.6 mi WSW of Johnson County Parks and Recreation District Headquarters",,38.98178,-94.78769,277.2,12.7,969,4,3,97.58,100.4,102.22,96.46,99.9,98.43,0.985285285,6555.44
206,208L,KANU,KANU00004851,"Richards, E.L.",127,9,28,1957,KS,Douglas County,"University of Kansas Natural History Reservation, 4 miles N and 1 1/2 miles east of Lawrence",,39.031751,-95.200227,323.1,12.7,965,5,3,107.7,99.95,104.07,94.52,105.89,97.24,0.918311455,6863.82
207,209L,KANU,KANU00004870,"Richards, E.L.",659,6,18,1958,KS,Elk County,1 mile south of Howard Kansas,,37.45626,-96.261762,297.9,13.9,933,4,3,58.82,63.07,55.3,59.58,57.06,61.33,1.074833509,2332.8
208,210L,KANU,KANU00004817,"McGregor, R.L.",4461,8,13,1950,KS,Elk County,2 mi. N Howard,,37.499447,-96.271373,307.2,13.8,929,4,3,74.03,75.68,66.59,74.32,70.31,75,1.066704594,3515.5
209,211L,KANU,KANU00004835,"Horr, W.H.",s.n.,6,28,1930,KS,Greenwood County,,,37.906165,-96.15723,337,13.3,931,6,4,53.27,52.81,60.6,55.75,56.94,54.28,0.953284159,2060.29
210,212L,KANU,KANU00159876,"Demaree, Delzie",27843,6,18,1949,AR,Stone County,P.O. Onia,,35.918938,-92.326859,228.8,14.3,1200,5,4,109.16,59.51,111.33,121.62,110.25,90.57,0.821496599,6656.23
211,213L,KANU,KANU00159836,"Marsh, Dan L.",1001,8,7,1958,AR,Yell County,Mt. Nebo,,35.215677,-93.250977,515.1,15,1250,6,3,138.7,119.51,122.44,58.09,130.57,88.8,0.680094968,7729.74
212,214L,KANU,KANU00159897,"Fay, M.J.",4260,7,27,1952,IA,Fremont County,Waubonsie State Park,,40.672006,-95.693136,355.7,10.4,849,6,3,137.81,133.6,123.68,121.07,130.75,127.34,0.973919694,11098.94
213,215L,KANU,KANU00004815,"Richardson, J.",979,7,29,1965,KS,Linn County,"Marais de Cygnes Waterfowl Refuge, Area B",,38.267623,-94.712847,241,13,1032,4,3,88.75,83.42,78.04,78.08,83.4,80.75,0.96822542,4489.43
214,216L,KANU,KANU00004852,"Wagenknecht, B.L.",4148,7,15,1957,KS,Lyon County,"1 mile north Reading, T17S, R13E, Sec. 34",,38.534527,-95.959047,317.2,12.6,928,3,2,78.22,76.16,69.15,71.68,73.69,73.92,1.003121183,3631.2
215,217L,KANU,KANU00004836,"Horr, W.H.",s.n.,8,27,1930,KS,Lyon County,,,38.407804,-96.152699,346,12.7,905,5,3,99.66,97.11,85.82,88.22,92.74,92.67,0.999245202,5729.17
216,218L,KANU,KANU00115533,"Milburn, Jennifer",1495,7,21,1994,KS,Miami County,"2.75 mi S of Hwy 68, 1 mi E of Franklin Co line; R21E, T17S, Sec. 11",,38.583301,-95.046809,323.5,12.9,989,6,4,130.09,140.91,141.4,138.28,135.75,139.6,1.028360958,12632.88
217,220L,KANU,KANU00159882,"Stephens, Steve",27295,8,14,1968,OK,Kiowa County,9 mi. S Lone Wolf,,34.875436,-99.298721,479.6,15.9,637,4,4,60.43,31.72,59.44,62.77,59.94,47.25,0.788288288,1887.75
218,221L,KANU,KANU00159840,"Goodman, George J",5670,7,17,1953,OK,Marshall County,"near Lake Texoma, near Univ. Okla. Biol. Station",,33.881219,-96.808003,193.4,17.4,969,4,4,86.7,93.1,69.91,83,78.31,88.05,1.124377474,4596.5
219,222L,KANU,KANU00004894,"Imler (?), R.H.",s.n.,6,14,1929,KS,Clay County,,,39.34792,-97.179026,374.3,12.7,781,4,3,89.09,93.46,76.76,80.25,82.93,86.86,1.047389365,4801.63
220,223L,KANU,KANU00113113,"Freeman, Craig C.",7535,8,15,1995,KS,Clay County,"N 1/2, NW 1/4 Sec 5, T10S, R4E. Wakefield, NE side. NE edge of Highland Cemetery",,39.219738,-97.01177,362.5,12.6,812,4,3,82.7,80.38,83.24,41.89,82.97,61.14,0.736892853,3381.58
